                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.64469,                 1.0979,                0.38431,                0.82212,                0.96606,                0.75662,                0.81776,                0.63777,                0.85473,                0.73819,                0.75939,                0.47002,                0.52366,                0.87308,                 0.3398,                0.81799,             0.00048275,             0.00048275,             0.00048275
                     65,                0.63385,                 1.0945,                0.37908,                0.82113,                0.96316,                0.75979,                 0.8134,                0.64022,                0.85845,                0.73612,                0.74547,                0.45631,                 0.5203,                0.88103,                0.33551,                0.81757,             0.00047038,             0.00047038,             0.00047038
                     66,                0.64744,                 1.1187,                0.38336,                0.82077,                0.92508,                0.75941,                0.80195,                0.62309,                0.84401,                 0.7096,                0.73629,                0.45785,                0.53097,                0.86595,                0.33896,                0.81809,               0.000458,               0.000458,               0.000458
                     67,                 0.6355,                 1.0854,                0.37825,                0.82197,                0.94401,                0.74741,                0.80917,                0.63177,                0.84107,                0.70104,                0.73952,                0.45998,                0.52565,                0.86825,                0.33938,                0.81897,             0.00044563,             0.00044563,             0.00044563
                     68,                0.63797,                 1.0836,                0.37939,                0.81839,                0.95435,                0.76197,                0.81378,                0.64912,                0.82952,                0.70522,                0.73217,                0.47239,                0.51654,                0.85461,                0.33358,                0.81674,             0.00043325,             0.00043325,             0.00043325
                     69,                0.62993,                 1.0758,                0.37405,                0.81803,                0.94272,                0.75048,                0.81092,                0.64274,                0.87989,                0.73209,                0.76738,                0.46829,                0.50666,                0.84423,                0.32758,                0.81587,             0.00042087,             0.00042087,             0.00042087
                     70,                0.64499,                 1.0883,                0.37818,                0.81937,                0.90185,                0.76835,                0.81672,                0.64811,                0.84696,                0.74022,                0.76002,                0.46921,                0.51278,                0.87632,                0.32945,                0.81566,              0.0004085,              0.0004085,              0.0004085
                     71,                0.62717,                 1.0768,                0.37134,                0.81707,                0.91173,                0.76225,                0.82393,                  0.652,                0.80825,                0.72881,                 0.7578,                0.46926,                0.51565,                0.85007,                0.33093,                0.81743,             0.00039613,             0.00039613,             0.00039613
                     72,                0.62202,                 1.0725,                0.36843,                 0.8196,                0.90896,                0.76775,                0.81748,                0.63864,                0.81262,                0.70637,                0.73109,                0.45261,                0.52263,                0.85697,                0.33183,                0.81749,             0.00038375,             0.00038375,             0.00038375
                     73,                0.62165,                 1.0665,                 0.3683,                0.81904,                0.91268,                0.76462,                0.81247,                0.64378,                0.82972,                0.72134,                0.74305,                0.46813,                0.50906,                0.84207,                0.32592,                0.81551,             0.00037138,             0.00037138,             0.00037138
                     74,                0.62025,                 1.0595,                0.36756,                0.81698,                0.94363,                0.76514,                 0.8128,                0.64584,                0.82408,                0.70149,                0.73286,                0.45485,                0.51126,                0.84951,                 0.3268,                 0.8141,               0.000359,               0.000359,               0.000359
                     75,                0.62434,                 1.0693,                0.36859,                 0.8164,                0.93561,                0.77427,                0.82469,                0.64662,                0.89267,                0.69284,                0.74053,                 0.4582,                0.50166,                0.84443,                0.32057,                0.81496,             0.00034663,             0.00034663,             0.00034663
                     76,                 0.6148,                 1.0488,                0.36389,                0.81601,                0.92949,                0.76177,                0.80744,                0.64362,                0.83064,                0.73843,                0.75618,                0.45884,                0.52867,                0.86277,                0.33199,                0.81656,             0.00033425,             0.00033425,             0.00033425
                     77,                 0.6108,                  1.042,                0.36463,                0.81518,                0.93788,                0.76579,                0.81759,                0.65072,                0.87845,                0.69884,                0.75192,                0.46472,                0.50787,                0.85573,                0.32182,                0.81432,             0.00032188,             0.00032188,             0.00032188
                     78,                0.62115,                 1.0711,                0.36853,                0.82072,                0.96647,                0.76113,                0.83112,                0.64807,                0.82002,                0.74708,                0.75119,                0.45495,                0.50737,                0.87234,                0.32482,                 0.8166,              0.0003095,              0.0003095,              0.0003095
                     79,                0.61073,                 1.0592,                0.36296,                0.81558,                0.90964,                0.77818,                0.81505,                0.64669,                0.86762,                0.70845,                0.74895,                0.45083,                 0.5261,                0.91461,                0.32781,                0.81658,             0.00029713,             0.00029713,             0.00029713
                     80,                0.61308,                 1.0639,                0.36158,                0.81653,                 0.9767,                0.76584,                0.82414,                0.64681,                0.86237,                0.73836,                0.75776,                0.47819,                0.50504,                  0.838,                 0.3225,                0.81465,             0.00028475,             0.00028475,             0.00028475
                     81,                0.61026,                 1.0468,                0.36167,                0.81468,                0.96053,                0.77151,                0.81922,                0.64267,                0.84385,                0.70834,                0.73905,                 0.4718,                0.50479,                0.84797,                0.31957,                0.81354,             0.00027237,             0.00027237,             0.00027237
                     82,                0.60452,                 1.0427,                0.35724,                0.81875,                0.92337,                0.76201,                0.81138,                 0.6458,                0.87713,                 0.7276,                 0.7563,                0.49138,                 0.4981,                 0.8252,                0.31676,                0.81248,                0.00026,                0.00026,                0.00026
                     83,                0.60798,                 1.0673,                0.35916,                0.81615,                 0.9488,                0.77874,                0.82492,                0.65072,                0.85249,                0.72269,                0.74534,                0.47153,                 0.4991,                0.84905,                0.31944,                0.81327,             0.00024762,             0.00024762,             0.00024762
                     84,                0.60675,                 1.0606,                0.35885,                0.81712,                 0.9282,                 0.7786,                0.82279,                 0.6494,                 0.8158,                0.75734,                0.75309,                0.47224,                0.50332,                0.84805,                0.31794,                0.81429,             0.00023525,             0.00023525,             0.00023525
                     85,                0.60219,                 1.0455,                0.35685,                 0.8159,                0.91256,                0.77732,                0.82195,                0.64797,                0.81435,                0.71848,                 0.7323,                0.46667,                0.50104,                0.83095,                0.31654,                0.81286,             0.00022288,             0.00022288,             0.00022288
                     86,                0.60092,                 1.0313,                0.35284,                0.81481,                0.96218,                0.77282,                0.82237,                0.64793,                0.83943,                0.72306,                0.74591,                0.46871,                0.49409,                0.83048,                0.31409,                0.81225,              0.0002105,              0.0002105,              0.0002105
                     87,                 0.6016,                 1.0419,                0.35316,                0.81489,                 0.9645,                0.77145,                0.82219,                0.65466,                0.84301,                0.71559,                0.73807,                0.47155,                0.48917,                0.83235,                0.31035,                0.81274,             0.00019813,             0.00019813,             0.00019813
