                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.21811,                  5.672,                0.24965,                0.21435,                 1.0275,                0.99897,                      1,                  0.995,                0.96712,                 0.5085,                0.50877,                0.40467,                 0.1066,                0.37042,                 5.2886,                0.33975,                0.29987,                0.72943,              0.0017545,              0.0017545,              0.0017545
                     65,                0.21091,                  5.423,                0.25619,                0.20585,                   1.02,                      1,                0.99845,                  0.995,                 0.9363,                0.52529,                0.54357,                0.47563,                0.18564,                0.48536,                 5.1167,                0.33814,                0.38264,                0.86668,              0.0017505,              0.0017505,              0.0017505
                     66,                0.19488,                 4.9433,                0.25835,                0.20493,                 1.0017,                 0.9986,                      1,                  0.995,                 0.9535,                0.56084,                 0.5614,                0.45816,                0.14492,                0.33251,                 5.1255,                0.33011,                0.37665,                0.70827,              0.0017466,              0.0017466,              0.0017466
                     67,                0.18936,                 4.8575,                0.25185,                0.19261,                 1.0154,                0.99893,                      1,                  0.995,                0.97191,                0.40308,                0.40351,                0.34411,                0.10798,                0.36935,                 5.3393,                0.32219,                0.35424,                0.73073,              0.0017426,              0.0017426,              0.0017426
                     68,                0.19069,                  4.895,                0.25301,                0.19331,                0.99994,                0.99884,                      1,                  0.995,                0.98121,                0.47325,                0.47368,                0.38139,                0.12617,                0.30543,                 5.3205,                0.31685,                0.41757,                0.64783,              0.0017386,              0.0017386,              0.0017386
                     69,                0.20089,                 5.0255,                0.24707,                0.19436,                0.98714,                0.99897,                      1,                  0.995,                0.97882,                0.49088,                0.49123,                0.33653,                 0.0883,                0.33937,                 5.5106,                0.31945,                0.34563,                 0.6919,              0.0017347,              0.0017347,              0.0017347
                     70,                0.19468,                  4.863,                0.25399,                0.19792,                 1.0272,                0.99899,                      1,                  0.995,                0.97083,                0.52577,                0.52632,                0.36683,                0.12539,                0.36689,                 5.0736,                0.31705,                 0.2976,                0.72505,              0.0017307,              0.0017307,              0.0017307
                     71,                0.19021,                 4.9496,                0.24623,                0.18955,                 1.0056,                  0.999,                      1,                  0.995,                0.96599,                0.56762,                0.54386,                0.47435,                0.13583,                0.35507,                  5.028,                 0.3215,                0.31365,                0.71446,              0.0017268,              0.0017268,              0.0017268
                     72,                0.21942,                   4.87,                0.25209,                 0.2128,                 1.0297,                0.99884,                      1,                  0.995,                0.95095,                0.57858,                0.57895,                0.48515,                0.16384,                0.39662,                 4.8825,                 0.3398,                0.35624,                0.78221,              0.0017228,              0.0017228,              0.0017228
                     73,                0.20519,                 4.9219,                0.24149,                0.19937,                 1.0005,                0.99727,                      1,                  0.995,                0.95021,                0.55987,                 0.5614,                0.43511,                0.11135,                0.41149,                 5.0296,                0.33438,                0.37024,                0.81405,              0.0017188,              0.0017188,              0.0017188
                     74,                0.19969,                 4.8362,                0.24795,                0.19315,                 1.0104,                 0.9987,                      1,                  0.995,                0.97533,                0.49058,                0.49123,                0.43238,                0.10209,                0.39647,                 5.2002,                0.33211,                0.41666,                0.80537,              0.0017149,              0.0017149,              0.0017149
