                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.13895,                 3.1201,                0.23287,                0.14577,                0.97031,                0.99908,                      1,                  0.995,                0.98515,                0.80674,                0.80702,                0.76564,                0.37264,                0.28215,                 3.0616,                0.27698,                0.29997,                0.66469,               0.000416,               0.000416,               0.000416
                     83,                0.15107,                  3.124,                0.21114,                0.16116,                0.98048,                0.99903,                      1,                  0.995,                 0.9808,                0.77161,                0.77193,                  0.705,                0.39986,                0.29061,                 3.0728,                0.27141,                0.30727,                0.66965,              0.0003962,              0.0003962,              0.0003962
                     84,                  0.152,                 2.9484,                0.20269,                0.15813,                 0.9644,                  0.999,                      1,                  0.995,                0.98257,                0.80644,                0.80702,                0.76892,                0.43241,                0.29475,                  3.057,                0.26612,                0.33721,                0.66737,              0.0003764,              0.0003764,              0.0003764
                     85,                0.14162,                 3.2683,                 0.2053,                0.15314,                0.97153,                0.99911,                      1,                  0.995,                0.98023,                0.81521,                0.80702,                0.77937,                0.41646,                0.28535,                 3.1507,                0.26829,                0.32107,                0.65273,              0.0003566,              0.0003566,              0.0003566
                     86,                0.14265,                 3.3627,                0.21986,                0.15714,                0.98472,                0.99907,                      1,                  0.995,                0.97967,                0.80692,                0.80702,                0.78072,                0.41402,                 0.2857,                 3.1335,                0.27488,                 0.2859,                0.66076,              0.0003368,              0.0003368,              0.0003368
                     87,                0.15044,                 3.2061,                0.20635,                0.15965,                0.97867,                0.99906,                      1,                  0.995,                0.98566,                0.82434,                0.82456,                0.80676,                0.39704,                0.28763,                 3.1685,                0.27646,                0.28247,                0.66491,               0.000317,               0.000317,               0.000317
                     88,                0.14742,                 3.2798,                0.21435,                0.16358,                0.95298,                0.99905,                      1,                  0.995,                0.98611,                0.80678,                0.80702,                0.76835,                0.30897,                0.29189,                 3.2995,                 0.2757,                0.32148,                0.67094,              0.0002972,              0.0002972,              0.0002972
                     89,                0.14617,                 3.1864,                0.20619,                0.15927,                0.96874,                0.99906,                      1,                  0.995,                0.98571,                0.84171,                0.84211,                 0.8433,                0.42468,                  0.286,                 2.9078,                0.27479,                0.32995,                0.66689,              0.0002774,              0.0002774,              0.0002774
                     90,                0.14104,                  2.951,                 0.2142,                0.15695,                0.96398,                0.99906,                      1,                  0.995,                0.98594,                0.85917,                0.85965,                0.87112,                0.44726,                0.28153,                 2.8661,                  0.269,                0.31954,                0.66368,              0.0002576,              0.0002576,              0.0002576
                     91,                0.14661,                 2.7757,                0.20404,                0.16588,                0.96051,                0.99909,                      1,                  0.995,                0.98706,                0.85932,                0.85965,                0.87108,                0.41595,                0.28262,                 2.9326,                0.26755,                0.30724,                0.66889,              0.0002378,              0.0002378,              0.0002378
                     92,                0.15275,                 3.0593,                0.22059,                0.16936,                0.97844,                0.99907,                      1,                  0.995,                0.98684,                 0.8944,                0.89474,                0.91195,                0.47327,                0.28617,                  2.808,                0.26826,                0.31353,                0.67334,               0.000218,               0.000218,               0.000218
                     93,                0.14506,                  2.991,                0.19862,                0.16132,                0.93172,                0.99907,                      1,                  0.995,                0.98538,                0.87681,                0.87719,                0.90224,                0.49486,                0.28469,                 2.7644,                0.26901,                0.32038,                0.66899,              0.0001982,              0.0001982,              0.0001982
                     94,                0.13455,                 3.0409,                0.19385,                0.15484,                0.96225,                0.99908,                      1,                  0.995,                0.98535,                0.87678,                0.87719,                0.89268,                0.48369,                0.28213,                 2.7911,                0.26671,                0.31324,                0.66411,              0.0001784,              0.0001784,              0.0001784
                     95,                0.13724,                 2.7635,                0.20577,                0.15051,                0.95316,                0.99908,                      1,                  0.995,                 0.9839,                0.85918,                0.85965,                 0.8589,                0.47249,                0.27924,                 2.7943,                0.26468,                0.30352,                0.65993,              0.0001586,              0.0001586,              0.0001586
                     96,                0.15057,                 2.8206,                0.20442,                0.15553,                 0.9581,                0.99907,                      1,                  0.995,                0.97985,                0.85908,                0.85965,                0.86811,                0.49803,                0.28383,                 2.7163,                  0.265,                0.29945,                0.66666,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.1378,                 2.9047,                 0.2069,                0.14573,                0.96404,                0.99908,                      1,                  0.995,                0.98001,                0.89427,                0.89474,                0.91703,                0.52269,                  0.289,                 2.6949,                0.26686,                0.30116,                0.67393,               0.000119,               0.000119,               0.000119
                     98,                0.13517,                 2.9299,                0.20502,                0.14846,                 0.9607,                0.99908,                      1,                  0.995,                0.98044,                0.89445,                0.89474,                0.92042,                0.52003,                0.28773,                 2.7338,                0.26664,                0.30229,                 0.6724,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.14053,                 2.9565,                0.20078,                0.15133,                0.96694,                0.99908,                      1,                  0.995,                0.97794,                0.89443,                0.89474,                0.91997,                0.51306,                0.28587,                  2.739,                0.26599,                0.29777,                0.66842,               7.94e-05,               7.94e-05,               7.94e-05
